1494938121.908;289502.878;1494938121.886;N;..PEG;186;507;262;633;-92;454;-92;454;49.8;0.198;0.525;465;560;564;651;34.0;0.409;0.537
1494938121.939;289502.911;1494938121.919;N;..PEG;483;509;516;545;490;471;490;471;27.2;0.203;0.525;477;548;546;630;27.9;0.408;0.537
1494938121.971;289502.944;1494938121.952;N;..PEG;489;509;493;479;496;488;493;479;27.1;0.203;0.525;483;531;483;531;28.4;0.408;0.537
1494938122.002;289502.978;1494938121.986;N;..PEG;484;508;489;493;487;491;491;483;27.6;0.203;0.525;480;524;480;524;28.2;0.408;0.537
1494938122.033;289503.011;1494938122.019;N;..PEG;503;517;489;500;513;501;496;488;27.4;0.203;0.525;493;533;486;528;28.2;0.408;0.537
1494938122.064;289503.044;1494938122.052;N;..PEG;500;516;490;504;509;506;499;492;27.5;0.203;0.525;491;526;488;528;27.9;0.408;0.537
1494938122.095;289503.078;1494938122.086;N;..PEG;502;509;490;508;502;511;502;511;27.7;0.203;0.525;502;506;491;522;28.3;0.408;0.536
1494938122.127;289503.111;1494938122.119;F;..PEG;485;519;489;509;484;507;484;507;27.6;0.203;0.525;485;531;490;524;28.2;0.408;0.536
1494938122.158;289503.144;1494938122.152;F;..PEG;496;508;490;510;495;499;489;503;27.3;0.203;0.525;497;516;491;523;28.2;0.408;0.536
1494938122.204;289503.178;1494938122.186;F;..PEG;498;504;490;510;508;491;496;499;27.5;0.204;0.525;489;517;491;522;28.1;0.409;0.536
1494938122.237;289503.211;1494938122.219;F;..PEG;500;514;490;511;506;515;498;503;27.6;0.204;0.525;493;512;491;520;28.3;0.409;0.536
1494938122.268;289503.244;1494938122.252;F;..PEG;507;479;491;511;525;469;504;496;27.8;0.204;0.524;489;489;491;517;28.2;0.409;0.536
1494938122.299;289503.277;1494938122.285;F;..PEG;508;477;492;509;507;462;505;490;28.0;0.204;0.524;508;491;493;514;28.3;0.409;0.536
1494938122.330;289503.311;1494938122.319;F;..PEG;519;479;493;507;523;467;507;487;27.9;0.205;0.524;516;491;495;511;28.7;0.410;0.536
1494938122.360;289503.344;1494938122.352;F;..PEG;494;475;494;506;487;457;505;483;28.0;0.204;0.524;501;493;496;510;28.9;0.410;0.536
1494938122.392;289503.377;1494938122.385;F;..PEG;494;464;495;505;495;454;504;479;28.1;0.204;0.524;493;473;496;506;28.3;0.410;0.536
1494938122.439;289503.411;1494938122.419;F;..PEG;500;476;495;503;500;475;503;478;28.4;0.204;0.524;500;477;496;503;28.7;0.409;0.536
1494938122.471;289503.444;1494938122.452;N;..PEG;498;474;500;489;504;454;503;476;27.6;0.204;0.524;492;493;496;502;28.9;0.409;0.536
1494938122.502;289503.477;1494938122.485;N;..PEG;510;474;502;481;505;461;504;474;27.9;0.204;0.524;515;488;497;501;28.4;0.409;0.536
1494938122.533;289503.511;1494938122.519;N;..PEG;507;479;502;481;499;456;503;472;27.9;0.203;0.524;515;502;499;501;28.5;0.408;0.536
1494938122.564;289503.544;1494938122.552;N;..PEG;503;484;502;483;504;475;503;472;27.9;0.203;0.525;502;493;499;500;28.9;0.408;0.535
1494938122.595;289503.577;1494938122.585;N;..PEG;492;540;501;488;489;533;502;477;28.3;0.202;0.525;494;548;499;503;29.3;0.407;0.536
1494938122.626;289503.610;1494938122.618;N;..PEG;498;542;501;491;495;537;502;481;28.3;0.202;0.526;500;548;499;506;29.3;0.407;0.536
1494938122.658;289503.644;1494938122.652;F;..PEG;502;551;501;493;517;542;503;486;28.4;0.202;0.526;487;560;498;509;29.0;0.407;0.536
1494938122.705;289503.677;1494938122.685;F;..PEG;499;574;501;494;513;560;503;491;29.3;0.202;0.526;486;588;498;514;29.6;0.407;0.537
1494938122.736;289503.711;1494938122.719;F;..PEG;491;575;500;497;492;571;503;497;29.0;0.202;0.526;490;579;497;519;29.0;0.407;0.536
1494938122.767;289503.744;1494938122.752;F;..PEG;497;584;500;498;499;569;502;502;28.8;0.203;0.526;494;598;497;524;29.8;0.408;0.537
1494938122.797;289503.777;1494938122.785;F;..PEG;518;768;501;507;518;748;518;748;29.1;0.205;0.530;518;788;518;788;30.3;0.409;0.541
1494938122.830;289503.810;1494938122.818;N;..PEG;532;768;532;768;526;769;526;769;29.2;0.205;0.531;538;767;538;767;30.0;0.410;0.541
1494938122.861;289503.844;1494938122.852;N;..PEG;522;781;527;775;528;792;527;780;29.3;0.206;0.531;516;771;527;769;30.1;0.410;0.542
1494938122.891;289503.877;1494938122.885;N;..PEG;518;777;525;775;518;778;524;780;29.0;0.206;0.531;517;776;524;772;29.8;0.411;0.542
1494938122.923;289503.910;1494938122.918;N;..PEG;521;780;525;776;517;770;522;777;28.6;0.207;0.531;525;789;524;776;29.6;0.411;0.542
1494938122.955;289503.944;1494938122.952;N;..PEG;532;782;524;776;522;777;522;777;27.7;0.207;0.531;541;786;528;778;30.0;0.412;0.542
1494938123.002;289503.977;1494938122.985;N;..PEG;539;793;524;777;543;796;543;796;28.3;0.208;0.531;536;790;536;790;30.0;0.412;0.543
1494938123.032;289504.010;1494938123.018;N;..PEG;525;782;525;782;524;784;524;784;28.0;0.208;0.531;526;781;526;781;29.7;0.412;0.543
1494938123.063;289504.043;1494938123.051;N;..PEG;525;793;525;788;536;800;530;792;28.3;0.208;0.532;513;786;520;783;30.1;0.413;0.543
1494938123.095;289504.077;1494938123.085;N;..PEG;533;796;527;789;533;788;531;791;28.4;0.208;0.531;532;804;524;790;29.9;0.413;0.543
1494938123.127;289504.110;1494938123.118;N;..PEG;538;799;528;790;536;802;532;794;28.6;0.208;0.532;540;795;528;792;30.4;0.413;0.543
1494938123.158;289504.143;1494938123.151;N;..PEG;534;795;529;791;526;797;531;794;28.1;0.208;0.532;541;792;531;792;30.1;0.412;0.543
1494938123.205;289504.177;1494938123.185;N;..PEG;524;797;529;791;517;799;529;795;28.0;0.207;0.531;530;795;531;792;30.1;0.412;0.543
1494938123.236;289504.210;1494938123.218;F;..PEG;530;808;529;792;533;811;529;797;28.2;0.207;0.532;527;806;530;794;29.9;0.411;0.543
1494938123.268;289504.244;1494938123.252;F;..PEG;532;817;529;793;542;827;531;801;28.7;0.206;0.532;523;806;529;796;30.8;0.410;0.543
1494938123.298;289504.277;1494938123.285;F;..PEG;527;811;529;794;532;811;531;803;28.4;0.205;0.532;523;811;529;798;30.7;0.410;0.543
1494938123.329;289504.310;1494938123.318;F;..PEG;515;819;529;795;515;819;529;805;28.7;0.204;0.532;516;819;527;800;31.0;0.409;0.543
1494938123.362;289504.344;1494938123.352;F;..PEG;516;827;529;796;516;832;528;807;29.0;0.204;0.532;517;823;526;803;31.0;0.409;0.543
1494938123.391;289504.377;1494938123.385;F;..PEG;523;827;529;797;523;830;527;810;29.0;0.204;0.533;524;824;526;805;31.0;0.408;0.543
1494938123.425;289504.410;1494938123.418;F;..PEG;528;828;528;798;533;825;528;811;28.7;0.203;0.533;523;831;526;807;31.3;0.408;0.543
1494938123.470;289504.443;1494938123.451;F;..PEG;530;840;528;799;524;835;528;813;29.1;0.203;0.533;536;844;526;811;31.1;0.408;0.543
1494938123.501;289504.476;1494938123.484;F;..PEG;521;838;528;801;515;847;527;816;29.1;0.203;0.534;526;830;526;812;31.3;0.407;0.543
1494938123.533;289504.510;1494938123.518;F;..PEG;517;847;528;802;526;845;526;819;28.9;0.203;0.534;508;849;525;815;31.2;0.407;0.544
1494938123.564;289504.543;1494938123.551;F;..PEG;513;838;528;804;516;835;526;820;28.8;0.203;0.534;509;842;524;818;31.4;0.407;0.544
1494938123.595;289504.577;1494938123.585;F;..PEG;517;842;528;805;524;835;525;822;29.1;0.203;0.534;511;849;523;820;30.3;0.408;0.544
1494938123.627;289504.610;1494938123.618;F;..PEG;520;846;527;807;524;840;525;823;28.9;0.203;0.534;517;853;522;823;30.5;0.408;0.544
1494938123.658;289504.643;1494938123.651;F;..PEG;527;838;527;808;532;833;526;824;29.2;0.204;0.534;522;844;522;825;30.6;0.408;0.545
1494938123.689;289504.676;1494938123.684;F;..PEG;528;836;527;810;534;843;526;826;28.8;0.203;0.535;522;828;522;826;30.4;0.408;0.545
1494938123.736;289504.709;1494938123.717;F;..PEG;536;847;527;811;538;847;527;828;29.1;0.203;0.536;534;847;523;827;30.4;0.408;0.547
1494938123.767;289504.743;1494938123.751;F;..PEG;524;849;526;812;520;851;526;830;29.1;0.203;0.538;529;847;523;829;30.4;0.407;0.549
1494938123.798;289504.776;1494938123.784;F;..PEG;478;840;526;814;461;840;522;831;29.0;0.201;0.540;494;839;521;830;30.7;0.406;0.551
1494938123.829;289504.809;1494938123.817;F;..PEG;387;867;526;816;368;910;368;910;27.2;0.199;0.542;407;824;514;830;29.7;0.404;0.552
1494938123.861;289504.843;1494938123.851;F;..PEG;389;796;517;819;382;861;382;861;27.0;0.198;0.544;396;732;506;826;30.1;0.404;0.555
1494938123.892;289504.876;1494938123.884;F;..PEG;413;816;509;820;403;778;392;819;28.8;0.198;0.548;423;854;501;828;30.7;0.404;0.561
1494938123.939;289504.910;1494938123.918;F;..PEG;425;762;501;820;418;760;401;799;29.5;0.197;0.554;433;765;495;824;30.6;0.403;0.566
1494938123.970;289504.943;1494938123.951;F;..PEG;431;767;495;818;442;758;411;789;29.4;0.196;0.559;419;775;489;822;30.6;0.402;0.571
1494938124.002;289504.976;1494938123.984;F;..PEG;416;764;488;817;412;756;411;782;29.4;0.195;0.562;420;771;483;819;31.1;0.401;0.575
1494938124.033;289505.009;1494938124.017;F;..PEG;433;760;482;815;432;749;415;776;29.8;0.194;0.565;434;770;478;816;31.5;0.401;0.578
1494938124.064;289505.043;1494938124.051;F;..PEG;442;768;477;813;436;759;418;773;29.7;0.193;0.567;449;777;475;813;31.2;0.400;0.579
